"receiver_id","purchasing_organisation","project_operatedby","installation_name","station_name","receiver_deployment_id","deployment_date","deployment_longitude","deployment_latitude","recovery_date","recovery_longitude","recovery_latitude","receiver_status"
"VR2W-114572","IMOS-ATF","IMOS-ATF Heron Island","IMOS-ATF Heron Island","HER 21",129722893,2016-06-01 10:45:00,151.92682,-23.43282,2017-05-24 12:24:00,151.92682,-23.43282,"DEPLOYED"
"VR2W-101650","NSW Department of Primary Industries","NSW DPI - SEACAMS","Seal Rocks","Big Seal Rocks 2 The Cavern",136094425,2016-05-31 14:00:00,152.5525,-32.4627,NA,NA,NA,NA
"VR2W-107549","NSW Department of Primary Industries","NSW DPI - SEACAMS","Seal Rocks","Big Seal Rocks 3 The Grotto",136094461,2016-05-31 14:00:00,152.5529,-32.4641,NA,NA,NA,"NEW"
"VR2W-129284","The University of Queensland","Wenlock River Array, Gulf of Carpentaria","Wenlock River","TPTWIN2",136927931,2016-05-31 02:00:00,141.9155,-12.27919,2017-05-26 23:31:00,141.9155,-12.27919,"NEW"
"VR2W-101844","IMOS-ATF","IMOS-ATF Heron Island","IMOS-ATF Heron Island","NW Heron",129762910,2016-05-31 11:58:00,151.91522,-23.4343,2017-05-24 13:42:00,151.91522,-23.4343,"NEW"
"VR2W-106914","IMOS-ATF","IMOS-ATF Heron Island","IMOS-ATF Heron Island","NE Heron",129752908,2016-05-31 11:22:00,151.94185,-23.43433,2017-05-24 10:30:00,151.94185,-23.43433,"RECOVERED"
"VR2W-125788","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB1",130953105,2016-05-31 01:00:00,150.68155,-35.03565,2017-06-09 00:00:00,150.6805667,-35.03541667,NA
"VR2W-114537","IMOS-ATF","IMOS-ATF Heron Island","IMOS-ATF Heron Island","HER 22",129722882,2016-05-31 10:50:00,151.95218,-23.42828,2017-05-24 11:02:00,151.95218,-23.42828,"DEPLOYED"
"VR2W-101155","The University of Queensland","Wenlock River Array, Gulf of Carpentaria","Wenlock River","TPMTNEW1",136927913,2016-05-31 00:30:00,141.91995,-12.26014,2017-05-31 02:50:00,141.91997,-12.2602,NA
"VR2W-101759","IMOS-ATF","IMOS-ATF Heron Island","IMOS-ATF Heron Island","HER 23",129722884,2016-05-31 10:24:00,151.96806,-23.43562,2017-05-24 11:28:00,151.96806,-23.43562,"RECOVERED"
"VR2W-113133","IMOS-ATF","IMOS-ATF Heron Island","IMOS-ATF Heron Island","HER 24",129722886,2016-05-31 09:50:00,151.9807,-23.43666,2017-05-24 11:56:00,151.9807,-23.43666,"DEPLOYED"
"VR2W-114554","IMOS-ATF","IMOS-ATF Heron Island","IMOS-ATF Heron Island","Heron E1",129722904,2016-05-30 13:49:00,151.99969,-23.43712,2017-05-27 14:08:00,151.99969,-23.43712,NA
"VR2W-114557","IMOS-ATF","IMOS-ATF Heron Island","IMOS-ATF Heron Island","HER 12",129722880,2016-05-30 13:26:00,151.99947,-23.44943,2017-05-27 13:36:00,151.99947,-23.44943,"DEPLOYED"
"VR2W-122586","IMOS-ATF","IMOS-ATF Heron Island","IMOS-ATF Heron Island","Heron E2",129732906,2016-05-30 12:54:00,151.99879,-23.45786,2017-05-27 13:18:00,151.99879,-23.45786,NA
"VR2W-106889","IMOS-ATF","IMOS-ATF Heron Island","IMOS-ATF Heron Island","HER 11",129722878,2016-05-30 11:06:00,151.99995,-23.42931,2017-05-27 14:35:00,151.99995,-23.42931,"RECOVERED"
"VR2W-122588","IMOS-ATF","IMOS-ATF One Tree Island","IMOS-ATF One Tree Island","The Key Hole",129722846,2016-05-30 10:55:00,152.08267,-23.51292,2017-05-25 14:35:00,152.08267,-23.51292,NA
"VR2W-101859","IMOS-ATF","IMOS-ATF One Tree Island","IMOS-ATF One Tree Island","OT 5",129722840,2016-05-30 10:11:00,152.0938,-23.51377,2017-05-25 12:30:00,152.0938,-23.51377,"RECOVERED"
"VR2W-106874","IMOS-ATF","IMOS-ATF One Tree Island","IMOS-ATF One Tree Island","OT 6",129722852,2016-05-30 09:38:00,152.07425,-23.51198,2017-05-25 11:34:00,152.07425,-23.51198,"DEPLOYED"
"VR2W-123005","The University of Queensland","Wenlock River Array, Gulf of Carpentaria","Wenlock River","TPDSTWNMOR",136927907,2016-05-29 05:50:00,141.90331,-12.25822,2017-05-29 02:50:00,141.90331,-12.25822,NA
"VR2W-123004","The University of Queensland","Wenlock River Array, Gulf of Carpentaria","Wenlock River","Tentpole upstream 1",136927894,2016-05-29 04:00:00,141.93254,-12.31293,2018-07-24 02:30:00,141.93253,-12.31295,"NEW"
"VR2W-101154","The University of Queensland","Wenlock River Array, Gulf of Carpentaria","Wenlock River","Tentpole Upstream 2",136927900,2016-05-29 03:00:00,141.93404,-12.30587,2017-05-27 02:50:00,141.9338552,-12.30714063,NA
"VR2W-110433","The University of Queensland","Wenlock River Array, Gulf of Carpentaria","Wenlock River","Island Downstream 2",136927167,2016-05-29 00:45:00,141.97511,-12.27035,2017-05-27 06:13:00,141.97513,-12.27038,NA
"VR2W-120525","The University of Queensland","Wenlock River Array, Gulf of Carpentaria","Wenlock River","Island Midstream 2",136927183,2016-05-29 00:30:00,141.99259,-12.27476,2017-07-30 01:11:00,141.99259,-12.27476,NA
"VR2W-114072","The University of Queensland","Wenlock River Array, Gulf of Carpentaria","Wenlock River","Batavia 2",136926583,2016-05-28 23:05:00,141.89883,-12.19458,2017-05-28 01:32:00,141.89883,-12.19458,NA
"VR2W-114568","IMOS-ATF","IMOS-ATF One Tree Island","IMOS-ATF One Tree Island","OT 1",129722868,2016-05-28 14:48:00,152.04056,-23.50612,2017-05-28 09:45:00,152.04056,-23.50612,"DEPLOYED"
"VR2W-119639","IMOS-ATF","IMOS-ATF One Tree Island","IMOS-ATF One Tree Island","OT 7",129722854,2016-05-28 13:58:00,152.05556,-23.50873,2017-05-25 11:34:00,152.05556,-23.50873,NA
"VR2W-106896","IMOS-ATF","IMOS-ATF One Tree Island","IMOS-ATF One Tree Island","OT11",129722836,2016-05-28 13:14:00,152.10031,-23.50505,2017-05-25 12:55:00,152.10031,-23.50505,"RECOVERED"
"VR2W-106902","IMOS-ATF","IMOS-ATF One Tree Island","IMOS-ATF One Tree Island","OT 4",129722826,2016-05-28 12:44:00,152.09641,-23.49146,2017-05-25 13:26:00,152.09641,-23.49146,"RECOVERED"
"VR2W-114565","IMOS-ATF","IMOS-ATF One Tree Island","IMOS-ATF One Tree Island","OT 3",129722824,2016-05-28 11:57:00,152.08263,-23.47931,2017-05-25 13:52:00,152.08263,-23.47931,"DEPLOYED"
"VR2W-106666","IMOS-ATF","IMOS-ATF One Tree Island","IMOS-ATF One Tree Island","OT12",129722817,2016-05-28 11:28:00,152.07132,-23.48244,2017-05-28 10:12:00,152.07132,-23.48244,"DEPLOYED"
"VR2W-114534","IMOS-ATF","IMOS-ATF One Tree Island","IMOS-ATF One Tree Island","OT 51",129722874,2016-05-28 10:37:00,152.06139,-23.4872,2017-05-28 11:10:00,152.06139,-23.4872,"DEPLOYED"
"VR2W-113112","IMOS-ATF","IMOS-ATF One Tree Island","IMOS-ATF One Tree Island","OT 2",129722872,2016-05-28 10:05:00,152.04584,-23.49207,2017-05-28 10:42:00,152.04584,-23.49207,NA
"VR2W-120744","IMOS-ATF","IMOS-ATF Heron Island","IMOS-ATF Heron Island","HER 13",129722870,2016-05-26 16:16:00,151.99083,-23.46936,2017-05-26 14:10:00,151.99083,-23.46936,NA
"VR2W-120740","IMOS-ATF","IMOS-ATF Heron Island","IMOS-ATF Heron Island","S Heron",129772912,2016-05-26 15:45:00,151.97821,-23.47238,2017-05-26 13:42:00,151.97821,-23.47238,NA
"VR2W-111277","IMOS-ATF","IMOS-ATF Heron Island","IMOS-ATF Heron Island","HER 14",129722876,2016-05-26 15:10:00,151.96519,-23.47367,2017-05-26 13:41:00,151.96519,-23.47367,NA
"VR2W-101717","IMOS-ATF","IMOS-ATF Heron Island","IMOS-ATF Heron Island","HER 15",129722856,2016-05-26 14:42:00,151.94704,-23.47091,2017-05-26 12:45:00,151.94704,-23.47091,"RECOVERED"
"VR2W-101828","IMOS-ATF","IMOS-ATF Heron Island","IMOS-ATF Heron Island","HER 16",129722862,2016-05-26 14:04:00,151.93471,-23.46501,2017-05-26 12:09:00,151.93471,-23.46501,NA
"VR2W-120745","IMOS-ATF","IMOS-ATF Heron Island","IMOS-ATF Heron Island","HER 17",129722891,2016-05-26 13:34:00,151.92249,-23.45487,2017-05-26 11:39:00,151.92249,-23.45487,NA
"VR2W-106652","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Coral Bay","South line 2",135420710,2016-05-26 03:00:00,113.75153,-23.12115,2017-05-18 08:16:59,113.75153,-23.12115,"DEPLOYED"
"VR2W-101732","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Coral Bay","South line 3",135420692,2016-05-26 03:00:00,113.7491,-23.1246,2017-05-18 03:15:00,113.7491,-23.1246,"RECOVERED"
"VR2W-110017","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JBGate8",131060663,2016-05-26 00:00:00,150.76723,-35.11017,2018-05-08 02:36:00,150.76723,-35.11017,NA
"VR2W-109598","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JBGate2",131009263,2016-05-26 09:10:00,150.77137,-35.0849,2017-11-12 21:51:00,150.77137,-35.0849,NA
"VR2W-113132","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Coral Bay","Point Maud",135606140,2016-05-25 20:00:00,113.75718,-23.12135,2017-05-18 03:55:00,113.75718,-23.12135,"DEPLOYED"
"VR2W-106661","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Coral Bay","North Reef c/s",138613527,2016-05-25 01:50:25,113.79087,-23.043,2017-05-17 11:05:03,113.79087,-23.043,"DEPLOYED"
"VR2W-125791","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JBGate7",130953202,2016-05-24 08:50:00,150.6842833,-35.0689,2018-05-08 00:36:00,150.6842833,-35.0689,NA
"VR2W-110018","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JBGate5",131060665,2016-05-24 07:35:00,150.76644,-35.096975,2018-05-10 01:15:00,150.76644,-35.096975,NA
"VR2W-125790","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB7",130953115,2016-05-18 01:50:00,150.69445,-35.08076667,2017-07-10 01:24:00,150.69445,-35.08076667,NA
"VR2W-121139","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB20",130953173,2016-05-18 11:10:00,150.7662,-35.1140833333333,2017-07-13 03:43:00,150.7662,-35.1140833333333,NA
"VR2W-100743","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB8",135241191,2016-05-18 00:14:00,150.69497,-35.085283,2017-07-10 02:14:00,150.69497,-35.085283,NA
"VR2W-121140","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JBGate6",131060644,2016-05-05 02:16:00,150.7667333,-35.10124,2018-05-08 00:06:00,150.7667333,-35.10124,NA
"VR2W-111364","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JBGate4",131039274,2016-05-04 23:51:00,150.767125,-35.092815,2018-05-09 22:27:00,150.767125,-35.092815,NA
"VR2W-106068","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JBGate3",131019272,2016-04-26 22:58:00,150.769605,-35.08877,2018-05-09 23:48:00,150.769605,-35.08877,NA
"VR2W-121135","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB9",130953124,2016-04-26 01:35:00,150.6956,-35.090616,2017-07-10 02:30:00,150.6956,-35.090616,NA
"VR2W-106066","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JBGate1",131009257,2016-04-25 22:50:00,150.772215,-35.08063,2017-11-12 23:17:00,150.772215,-35.08063,NA
"VR2AR-545666","Flinders University","IMOS-ATF South Australian Acoustic Tracking Network","Flinder Uni White Shark Cage Diving Industry Monitoring","Neptune 2",138661253,2016-04-25 10:00:00,136.073067,-35.232183,2017-05-14 09:59:00,136.073067,-35.232183,"NEW"
"VR2AR-545667","Flinders University","IMOS-ATF South Australian Acoustic Tracking Network","Flinder Uni White Shark Cage Diving Industry Monitoring","Neptune 1",138661170,2016-04-24 15:00:00,136.0718,-35.2252,2017-05-13 14:59:00,136.0718,-35.2252,"NEW"
"VR2W-107459","Department of Fisheries, Government of Western Australia","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT34",136114793,2016-04-20 02:04:00,115.36499,-32.02237,2017-08-29 10:00:00,115.36499,-32.02237,"NEW"
"VR2W-104487","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT45",132818303,2016-04-20 01:40:00,115.2762,-32.02237,2017-08-22 10:00:00,115.2762,-32.02237,"DEPLOYED"
"VR2W-120782","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT50",132818331,2016-04-20 01:27:00,115.23562,-32.02237,2017-08-21 10:00:00,115.23562,-32.02237,"NEW"
"VR2W-104485","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT29",132818217,2016-04-19 10:17:00,115.40557,-32.02237,2017-09-06 10:00:00,115.40557,-32.02237,"RECOVERED"
"VR2W-120772","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT35",132818249,2016-04-19 10:02:00,115.36499,-32.02237,2017-08-29 10:00:00,115.36499,-32.02237,"NEW"
"VR2W-104527","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT36",132818255,2016-04-19 10:00:00,115.34918,-32.02237,2017-08-28 10:00:00,115.34918,-32.02237,"DEPLOYED"
"VR2W-120788","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT37",132818261,2016-04-19 09:58:00,115.34101,-32.02237,2017-08-28 10:00:00,115.34101,-32.02237,"NEW"
"VR2W-104500","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT38",132818267,2016-04-19 09:56:00,115.33285,-32.02237,2017-08-28 10:00:00,115.33285,-32.02237,"RECOVERED"
"VR2W-104507","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT39",132818273,2016-04-19 09:53:00,115.32468,-32.02237,2017-08-28 10:00:00,115.32468,-32.02237,"RECOVERED"
"VR2W-120771","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT40",132818279,2016-04-19 09:51:00,115.31678,-32.02237,2017-08-28 10:00:00,115.31678,-32.02237,"NEW"
"VR2W-104477","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT42",132818285,2016-04-19 09:47:00,115.30017,-32.02237,2017-08-22 10:00:00,115.30017,-32.02237,"DEPLOYED"
"VR2W-120768","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT43",132818291,2016-04-19 09:45:00,115.29201,-32.02237,2017-08-22 10:00:00,115.29201,-32.02237,"NEW"
"VR2W-114046","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT44",132818297,2016-04-19 09:43:00,115.2841,-32.02237,2017-08-22 10:00:00,115.2841,-32.02237,"NEW"
"VR2W-120766","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT46",132818309,2016-04-19 09:38:00,115.26829,-32.02237,2017-08-22 10:00:00,115.26829,-32.02237,"NEW"
"VR2W-119476","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT47",132818315,2016-04-19 09:36:00,115.26013,-32.02237,2017-08-22 10:00:00,115.26013,-32.02237,"NEW"
"VR2W-120786","Department of Fisheries, Government of Western Australia","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT48",136114873,2016-04-19 09:33:00,115.25196,-32.02237,2017-08-22 10:00:00,115.25196,-32.02237,"NEW"
"VR2W-104484","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT49",132818325,2016-04-19 09:31:00,115.24379,-32.02237,2017-08-21 10:00:00,115.24379,-32.02237,"DEPLOYED"
"VR2W-120769","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT51",132818337,2016-04-19 09:25:00,115.22772,-32.02237,2017-08-21 10:00:00,115.22772,-32.02237,"NEW"
"VR2W-101434","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT52",132818343,2016-04-19 09:22:00,115.21929,-32.02214,2017-08-21 10:00:00,115.21929,-32.02214,NA
"VR2W-119304","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT53",132818349,2016-04-19 09:19:00,115.21112,-32.02214,2017-08-21 10:00:00,115.21112,-32.02214,"NEW"
"VR2W-120765","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT31",132818235,2016-04-19 11:00:00,115.38949,-32.02237,2017-08-29 11:00:00,115.38949,-32.02237,"NEW"
"VR2W-104496","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT28",132818211,2016-04-19 10:00:00,115.41347,-32.02237,2017-09-06 10:00:00,115.41347,-32.02237,"RECOVERED"
"VR2W-120781","Department of Fisheries, Government of Western Australia","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT41",136114867,2016-04-19 10:00:00,115.30834,-32.02237,2017-08-28 10:00:00,115.30834,-32.02237,"NEW"
"VR2W-101419","Department of Fisheries, Government of Western Australia","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT33",136114787,2016-04-19 10:00:00,115.37342,-32.02237,2017-08-29 10:00:00,115.37342,-32.02237,"NEW"
"VR2W-120787","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT27",132818205,2016-04-19 10:00:00,115.42138,-32.02237,2017-09-06 10:00:00,115.42138,-32.02237,"NEW"
"VR2W-104517","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT30",132818223,2016-04-19 10:00:00,115.3974,-32.02237,2017-09-06 10:00:00,115.3974,-32.02237,"RECOVERED"
"VR2W-104494","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT32",132818241,2016-04-19 10:00:00,115.38133,-32.02237,2017-08-28 10:00:00,115.38133,-32.02237,"RECOVERED"
"VR4-UWM-250373","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 9",129637579,2016-04-08 12:09:00,151.34683,-33.92846,2016-10-06 13:14:43,151.34563,-33.93003,"NEW"
"VR4-UWM-250385","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 10",129637581,2016-04-08 11:55:00,151.35414,-33.93304,2016-10-06 12:26:43,151.353,-33.93437,NA
"VR4-UWM-250579","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 11",129637583,2016-04-08 11:38:00,151.36229,-33.93593,2016-10-06 12:10:48,151.3602,-33.93884,NA
"VR4-UWM-250388","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 12",129637585,2016-04-08 11:17:00,151.3692,-33.94219,2016-10-06 11:52:46,151.36792,-33.9433,NA
"VR4-UWM-250386","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 13",129637587,2016-04-08 10:58:00,151.37634,-33.94616,2016-10-06 11:32:09,151.37512,-33.94763,NA
"VR4-UWM-250396","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 14",129637589,2016-04-08 10:31:00,151.3854,-33.9507,2016-10-06 11:15:26,151.38248,-33.9521,NA
"VR4-UWM-250389","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 15",129637591,2016-04-08 10:20:00,151.39111,-33.95555,2016-10-06 10:55:32,151.38986,-33.95657,NA
"VR2W-100472","NSW Department of Primary Industries","NSW DPI - SEACAMS","Seal Rocks","Little Seal Rocks 1 Gutter",136112013,2016-04-05 02:00:00,152.54667,-32.4742,NA,NA,NA,NA
"VR2AR-545650","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Ningaloo Reef North Line","NL2",129588392,2016-03-21 14:40:00,113.92962,-21.89516,2016-12-14 13:11:00,113.92962,-21.89516,"NEW"
"VR2AR-545595","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Ningaloo Reef North Line","NL3",129588394,2016-03-21 14:21:00,113.9239,-21.89114,2016-12-14 13:26:00,113.9239,-21.89114,"NEW"
"VR2AR-545599","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Ningaloo Reef North Line","NL5",129588412,2016-03-21 13:55:00,113.91106,-21.88394,2016-12-14 14:04:00,113.91106,-21.88394,"NEW"
"VR2AR-545645","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Ningaloo Reef North Line","NL6",129588414,2016-03-21 13:33:00,113.90543,-21.88054,2016-12-14 14:19:00,113.90543,-21.88054,"NEW"
"VR2AR-545637","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Ningaloo Reef Central Line","CL7",129588594,2016-03-18 19:22:00,113.62138,-22.59903,2016-12-09 19:46:00,113.62138,-22.59903,"NEW"
"VR2AR-545634","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Ningaloo Reef Central Line","CL8",129588608,2016-03-18 19:15:00,113.61437,-22.59629,2016-12-09 19:34:00,113.61437,-22.59629,"NEW"
"VR2AR-545655","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Ningaloo Reef Central Line","CL9",129588610,2016-03-18 19:04:00,113.60761,-22.59343,2016-12-09 19:15:00,113.60761,-22.59343,"NEW"
"VR2W-113118","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Ningaloo Reef Central Line","CL6",129588580,2016-03-18 17:49:00,113.62776,-22.6029,2016-12-10 12:57:00,113.62776,-22.6029,NA
"VR2W-105863","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Ningaloo Reef Central Line","CL5",129588570,2016-03-18 17:02:00,113.63402,-22.6057,2016-12-10 12:13:00,113.63402,-22.6057,"DEPLOYED"
"VR2W-102026","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Ningaloo Reef Central Line","CL4",129588568,2016-03-18 16:13:00,113.64124,-22.60848,2016-12-10 11:48:00,113.64124,-22.60848,NA
"VR2W-120741","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Ningaloo Reef Central Line","CL3",129588481,2016-03-18 15:33:00,113.64845,-22.61119,2016-12-10 11:25:00,113.64845,-22.61119,NA
"VR2W-114535","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Ningaloo Reef Central Line","CL2",129588466,2016-03-18 15:01:00,113.65474,-22.61206,2016-12-10 11:51:00,113.65474,-22.61206,NA
"VR2W-114543","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Ningaloo Reef Central Line","CL1",129588464,2016-03-18 14:42:00,113.66226,-22.61184,2016-12-10 10:34:00,113.66226,-22.61184,"DEPLOYED"
"VR2AR-545652","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Ningaloo Reef South Line","SL6",129588620,2016-03-16 15:55:00,113.72632,-23.12842,2016-12-09 12:56:00,113.72632,-23.12842,"NEW"
"VR2AR-545660","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Ningaloo Reef South Line","SL7",129588630,2016-03-16 15:47:00,113.71925,-23.12692,2016-12-09 12:44:00,113.71925,-23.12692,"NEW"
"VR2AR-545654","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Ningaloo Reef South Line","SL8",129588642,2016-03-16 15:40:00,113.71192,-23.12626,2016-12-09 12:29:00,113.71192,-23.12626,"NEW"
"VR2AR-545662","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Ningaloo Reef South Line","SL9",129588661,2016-03-16 15:30:00,113.70444,-23.12509,2016-12-09 12:06:00,113.70444,-23.12509,"NEW"
"VR2AR-545585","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Ningaloo Reef South Line","SL10",129588663,2016-03-16 15:22:00,113.69724,-23.12422,2016-12-09 11:49:00,113.69724,-23.12422,"NEW"
"VR2AR-545658","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Ningaloo Reef South Line","SL11",129588665,2016-03-16 15:13:00,113.68948,-23.12352,2016-12-09 11:32:00,113.68948,-23.12352,"NEW"
"VR2W-106062","Ocean Tracking Network (OTN)","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT67",132818399,2016-03-15 08:55:00,115.60596,-32.1038,2017-07-03 04:00:00,115.60596,-32.1038,"NEW"
"VR2W-119427","Department of Fisheries, Government of Western Australia","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT62",135419874,2016-03-15 08:33:00,115.57882,-32.07606,2017-07-03 04:00:00,115.57882,-32.07606,"NEW"
"VR2W-119471","Department of Fisheries, Government of Western Australia","IMOS-ATF / OTN Perth line","IMOS-ATF / OTN Perth line","PRT63",136981443,2016-03-15 08:06:00,115.58404,-32.08188,2017-03-20 11:00:00,115.58404,-32.08188,"NEW"
"VR2AR-545647","IMOS-ATF","NSW DPI Movements of Coastal Sharks","Sydney Harbour","Nielson Park 600m",130704841,2016-03-10 04:15:09,151.26785,-33.8421,2016-10-13 23:35:08,151.26785,-33.8421,"NEW"
